"Url","Authors","Dates"
http://www.bbc.com/news/world-middle-east-25810934,Christine Jeavans,2014.02.27  
http://www.youtube.com/watch?v=sReCLWr4QYU,News Daily Planet +,2014.03.01
http://balkanmun.soekin.org/Study_Guide_of_SECURITY_COUNCIL.pdf,<NONE>,<NONE>
http://www.press-report.net/clanek-20923956-more-chemical-tainted-fruits-destroyed,<NONE>,2014.02.27
http://middleeast.about.com/od/mediacultureandthearts/a/Latest-News-In-The-Middle-East-February-24-March-2-2014.htm,Primoz Manfreda,2014.03.02
http://www.atpinc.com/p2-4a.php?sn=00000395,<NONE>,<NONE>
http://en.wikipedia.org/wiki/Industrial-grade_prime,<NONE>,2013.07.27
http://www.dow.com/propyleneglycol/products/industrial_grade.htm,<NONE>,<NONE>
http://cheaptubes.com/industrialgrademwnts.htm,<NONE>,<NONE>
http://www.lyondellbasell.com/Products/ByCategory/basic-chemicals/IntermediateChemicalsAndGlycols/PropyleneGlycolIndustrialGrade/,<NONE>,<NONE>
http://www.corning.com/WorkArea/downloadasset.aspx?id=17711,<NONE>,<NONE>
http://www.bloomberg.com/news/2013-12-06/tesla-s-industrial-grade-solar-power-storage-system.html,Ashlee Vance,2013.01.06   
http://www.issi.com/WW/pdf/Ind-Memory.pdf,<NONE>,<NONE>
http://www.amazon.com/Titan-Elite-Industrial-Grade-Scissor/dp/B0046EBW1C,<NONE>,<NONE>
http://www.cactus-tech.com/en/cactus-difference/industrial-grade-vs-commercial-grade,<NONE>,<NONE>
https://www.blcklst.com/help/article/368,<NONE>,<NONE>
http://www.enrollamerica.org/ten-ways-to-make-health-coverage-enrollment-and-renewal-easy/,Jennifer Sullivan,2011.08.01 
https://www.blcklst.com/help/article/325,<NONE>,<NONE>
http://www.fcps.edu/news/starttimes/communityengagementprocess.pdf,<NONE>,<NONE>
http://www.surrey.ac.uk/research/fellowships_strategy/Process/,<NONE>,<NONE>
http://www.washingtonpost.com/national/health-science/how-do-the-health-laws-online-exchanges-work-what-you-need-to-know-to-get-started/2013/09/16/ef7974c8-1988-11e3-a628-7e6dde8f889d_story.html,Mary Agnes Carey AND Julie Appleby,2013.09.16
http://together.scienceonline.com/faqs/,<NONE>,<NONE>
http://www.health.state.mn.us/topics/cannabis/,<NONE>,<NONE>
http://www.uspto.gov/web/offices/com/oqm-old/Facilitation.pdf,<NONE>,<NONE>
http://www.admin.cam.ac.uk/univ/plagiarism/examiners/detection.html,<NONE>,2013.08.06
http://www.bbc.com/news/world-middle-east-27178999,<NONE>,2014.04.27
http://www.youtube.com/watch?v=pkn_6eN4ti8,Top World News,2014.04.27
http://www.health.state.mn.us/divs/eh/hazardous/topics/toxfreekids/priority.html,<NONE>,2012.11.01
http://www.health.state.mn.us/divs/eh/hazardous/topics/toxfreekids/,<NONE>,2013.07.01
http://www.maine.gov/dep/safechem/priority.html,<NONE>,<NONE>
http://www.medicalnewstoday.com/articles/276702.php,Honor Whiteman,2014.05.12
http://www.walmartsustainabilityhub.com/app/answers/detail/a_id/311,<NONE>,2014.02.21
http://www.emb.gov.ph/portal/chemical/Permitings/PriorityChemicalList.aspx,<NONE>,<NONE>
http://www.amazon.com/Encyclopedia-Environmentally-Hazardous-Priority-Chemicals/dp/044453105X,<NONE>,<NONE>
http://www.cleanwateraction.org/files/publications/mn/priority-chemical-list.pdf,<NONE>,<NONE>
http://www.biomonitoring.ca.gov/chemicals/priority-chemicals,<NONE>,<NONE>
http://4therecord.org/conflict/syria/syria-archive/,<NONE>,2014.04.27
http://www.nytimes.com/2014/02/28/world/europe/crimea-ukraine.html,Andrew Higgins AND Steven Erlanger,2014.02.27
http://www.usubc.org/site/recent-news/ukraine-in-the-news-2-27-2014-thursday,<NONE>,2014.02.27
http://www.theoccidentalobserver.net/2014/02/competing-nationalisms-in-the-ukraine/,Kevin MacDonald,2014.02.27
http://ex-army.blogspot.com/2014_02_01_archive.html,<NONE>,2014.02.28
http://www.youtube.com/watch?v=iDsZTCg5b8s,Free Thinking News,2014.02.27
http://gawker.com/pro-russia-gunmen-seize-government-buildings-in-ukrain-1532352490,Taylor Berman,2014.02.27
http://www.telegraphindia.com/1140228/jsp/foreign/story_18029825.jsp,ANDREW HIGGINS AND STEVEN LEE MYERS,2014.02.27
http://www.youtube.com/watch?v=LOd3uhU3kO8,Free Thinking News,2014.02.27
http://www.abovetopsecret.com/forum/thread1006638/pg1,<NONE>,2014.04.07
http://es.redskins.com/topic/377195-bbc-ukraine-sanctions-imposed-amid-kiev-clashes/page-2,<NONE>,2014.02.20
http://archive.wn.com/2014/03/06/1400/worldnews/,<NONE>,2014.03.06
http://www.nytimes.com/2014/02/27/world/europe/russia.html,ANDREW HIGGINS AND STEVEN LEE MYERS,2014.03.06
http://news.kievukraine.info/2014/02/putin-drills-ground-troops-at-ukraines.html,Nicholas,<NONE>
"http://www.american-reporter.com/4,941W/sec1.html",<NONE>,<NONE>
http://www.thewire.com/global/2014/02/russia-begin-military-exercises-tensions-rise-crimea/358582/,Brian Feldman AND @BAFeldman,2014.02.27
http://patdollard.com/2014/02/putin-drills-military-at-ukraines-doorstep-obama-issues-one-of-his-laughable-weakling-coward-warnings/,Jack Flash,2014.02.26
http://www.merriam-webster.com/dictionary/uncompromising,<NONE>,<NONE>
http://www.thefreedictionary.com/uncompromisingly,<NONE>,<NONE>
http://www.collinsdictionary.com/dictionary/english/uncompromisingly,<NONE>,<NONE>
http://www.cuttingedge.org/News/n2206.cfm,<NONE>,<NONE>
http://www.biblegateway.com/passage/?search=Psalm+92%3A12-15&version=AMP,<NONE>,<NONE>
http://dictionary.cambridge.org/dictionary/british/uncompromising,<NONE>,<NONE>
http://thinkprogress.org/world/2014/02/27/3339221/crimea-riven-ukraine/,Hayes Brown AND @HayesBrown,2014.02.27
http://thelede.blogs.nytimes.com/2014/02/27/live-coverage-tensions-in-ukraine/,CHRISTINE HAUSER AND JENNIFER PRESTON,2014.02.27
http://uk.reuters.com/article/2014/02/26/uk-ukraine-crisis-usa-idUKBREA1P1LS20140226,Arshad Mohammed AND Lesley Wroughton,2014.02.26
http://www.theguardian.com/world/2014/feb/26/ukraine-new-leader-disbands-riot-police-crimea-separatism,Oksana Grytsenko AND Shaun Walker AND Harriet Salem,2014.02.26
http://www.businessweek.com/news/2014-02-26/kerry-says-u-dot-s-dot-planning-1-billion-loan-guarantee-for-ukraine,Nicole Gaouette,2014.02.26
http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10663971/Russia-and-Nato-to-face-off-over-Ukraine.html,Roland Oliphant,2014.02.26
