Url,Title,Authors,Sources,Dates
http://www.bbc.com/news/world-middle-east-25810934,Destroying Syria's chemical weapons,Christine Jeavans,BBC,2014.02.27  
http://www.youtube.com/watch?v=sReCLWr4QYU,Syrian civil war 2014 Destroying Syria's chemical weapons video of Latakia ,<NONE>,News Daily Planet +,2014.03.01
http://www.nytimes.com/2014/02/25/world/europe/kremlin-says-ukrainian-instability-threatens-russian-interests.html,Kremlin Says Ukrainian Instability Threatens Russian Interests,STEVEN LEE MYERS,new york times AND nytimes,2014.02.24  
http://www.press-report.net/clanek-20923956-more-chemical-tainted-fruits-destroyed,More chemical tainted fruits destroyed,<NONE>,Press Report,2014.02.27
http://middleeast.about.com/od/mediacultureandthearts/a/Latest-News-In-The-Middle-East-February-24-March-2-2014.htm,Latest News in the Middle East February 24 - March 2 2014,Primoz Manfreda,@aboutdotcom AND middleeast.about.com,2014.03.02
http://www.atpinc.com/p2-4a.php?sn=00000395,Industrial Grade SD/SDHC,<NONE>,ATP,<NONE>
http://en.wikipedia.org/wiki/Industrial-grade_prime,Industrial-grade prime,<NONE>,Wikipedia,2013.07.27
http://www.dow.com/propyleneglycol/products/industrial_grade.htm,Propylene Glycol Industrial Grade (PGI),<NONE>,DOW,<NONE>
http://cheaptubes.com/industrialgrademwnts.htm,Industrial Grade Carbon Nanotubes,<NONE>,cheaptubes,<NONE>
http://www.lyondellbasell.com/Products/ByCategory/basic-chemicals/IntermediateChemicalsAndGlycols/PropyleneGlycolIndustrialGrade/,Propylene Glycol Industrial Grade (PGI),<NONE>,lyondellbasell,<NONE>
http://rpdefense.over-blog.com/2014/06/f-35-weekly-update-5th-june-2014.html,F-35 Weekly Update: 5th June 2014,<NONE>,RP Defense,2014.06.05  
http://www.bloomberg.com/news/2013-12-06/tesla-s-industrial-grade-solar-power-storage-system.html,Industrial Grade Tesla's Industrial-Grade Solar Power Storage System ,Ashlee Vance,bloomberg,2013.12.06   
http://voiceofrussia.com/news/2014_02_24/Ambassadors-withdrawal-a-sign-of-extreme-concern-about-situation-in-Ukraine-Medvedev-1831/,Ambassador's withdrawal a sign of extreme concern about situation in Ukraine - Medvedev,<NONE>,Voice of Russia AND Interfax,2014.02.24  
http://www.amazon.com/Titan-Elite-Industrial-Grade-Scissor/dp/B0046EBW1C,Titan Elite Industrial Grade Heavy Duty Scissor,<NONE>,Amazon,<NONE>
http://www.cactus-tech.com/en/cactus-difference/industrial-grade-vs-commercial-grade,Industrial Grade vs. Commercial Grade,<NONE>,cactus technologies AND cactustech,2014.08.08  
https://www.blcklst.com/help/article/368,How will the process work?,<NONE>,black list AND blcklst,<NONE>
http://www.enrollamerica.org/ten-ways-to-make-health-coverage-enrollment-and-renewal-easy/,Ten Ways to Make Health Coverage Enrollment and Renewal Easy,Jennifer Sullivan,Enroll america,2011.08.01 
https://www.blcklst.com/help/article/325,How will the process work?,<NONE>,the black list AND blcklst,<NONE>
http://politicalvelcraft.org/2014/02/24/president-putin-sends-russian-troops-to-crimea-ukraine-east-ukraine-citizens-revolt-against-the-obama-e-u-coup-in-kiev/,President Putin Sends Russian Troops To Crimea Ukraine: East Ukraine Citizens Revolt Against The Obama E.U. Coup In Kiev!,<NONE>,Political vel craft,2014.02.24  
http://www.surrey.ac.uk/research/fellowships_strategy/Process/,How will the process work?,<NONE>,university of surrey AND surrey,2011.10.04
http://www.washingtonpost.com/national/health-science/how-do-the-health-laws-online-exchanges-work-what-you-need-to-know-to-get-started/2013/09/16/ef7974c8-1988-11e3-a628-7e6dde8f889d_story.html,How do the health law’s online exchanges work? What you need to know to get started.,Mary Agnes Carey AND Julie Appleby,washington post,2013.09.16
http://together.scienceonline.com/faqs/,FAQs,<NONE>,Together science online AND scienceonline,<NONE>
http://www.health.state.mn.us/topics/cannabis/,Medical Cannabis,<NONE>,Minnesota department of health,<NONE>
http://www.moonofalabama.org/2013/12/syria-us-moving-towards-supporting-assad.html,Syria: U.S. Moving Towards Supporting Assad,<NONE>,Moon of alabama,2013.12.13
http://www.admin.cam.ac.uk/univ/plagiarism/examiners/detection.html,Turnitin UK text-matching software,<NONE>,University of cambridge,2013.08.06
http://www.bbc.com/news/world-middle-east-27178999,Syria 'still holds chemical weapons' - OPCW head Kaag,<NONE>,BBC,2014.04.27
